,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
u,0.063,0.021,0.021,0.102,0.0,0.0,2207.0,2007.0,1.0,LogNormal
a,1.897,0.131,1.633,2.154,0.003,0.002,2507.0,2261.0,1.0,LogNormal
b,0.611,0.084,0.46,0.775,0.002,0.001,2611.0,2338.0,1.0,LogNormal
u,0.571,0.155,0.269,0.861,0.003,0.002,2091.0,1625.0,1.0,Gamma
a,8.165,1.067,6.047,10.201,0.025,0.018,1767.0,2072.0,1.0,Gamma
b,5.391,0.878,3.837,7.12,0.02,0.015,1918.0,2218.0,1.0,Gamma
u,0.053,0.044,0.0,0.138,0.001,0.001,1298.0,1344.0,1.0,Weibull
a,1.611,0.27,1.09,2.146,0.007,0.005,1423.0,1070.0,1.0,Weibull
b,12.254,1.457,9.545,15.065,0.046,0.035,1284.0,1005.0,1.0,Weibull
u,0.639,0.196,0.266,1.013,0.003,0.002,3502.0,3009.0,1.0,NegativeBinomial
a,7.835,1.005,5.932,9.78,0.017,0.012,3496.0,2858.0,1.0,NegativeBinomial
b,5.825,2.378,2.283,10.646,0.04,0.031,3860.0,2668.0,1.0,NegativeBinomial
