,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
r,0.065,0.02,0.027,0.105,0.0,0.0,1991.0,1606.0,1.0,LogNormal
a,1.949,0.096,1.757,2.137,0.002,0.001,2153.0,1921.0,1.0,LogNormal
s,0.549,0.056,0.447,0.665,0.001,0.001,2499.0,2278.0,1.0,LogNormal
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[8],0.392,0.12,0.161,0.632,0.003,0.002,1991.0,1606.0,1.0,LogNormal
e[9],0.654,0.2,0.268,1.053,0.004,0.003,1991.0,1606.0,1.0,LogNormal
e[10],0.262,0.08,0.107,0.421,0.002,0.001,1991.0,1606.0,1.0,LogNormal
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[14],0.654,0.2,0.268,1.053,0.004,0.003,1991.0,1606.0,1.0,LogNormal
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[17],0.458,0.14,0.188,0.737,0.003,0.002,1991.0,1606.0,1.0,LogNormal
e[18],0.131,0.04,0.054,0.211,0.001,0.001,1991.0,1606.0,1.0,LogNormal
e[19],0.196,0.06,0.081,0.316,0.001,0.001,1991.0,1606.0,1.0,LogNormal
