,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
r,0.081,0.028,0.026,0.135,0.001,0.0,1902.0,1490.0,1.0,LogNormal
a,1.828,0.147,1.539,2.136,0.003,0.002,1979.0,1902.0,1.0,LogNormal
s,0.621,0.087,0.455,0.781,0.002,0.001,2064.0,2203.0,1.0,LogNormal
e[0],0.162,0.055,0.052,0.269,0.001,0.001,1902.0,1490.0,1.0,LogNormal
e[1],0.244,0.083,0.079,0.404,0.002,0.001,1902.0,1490.0,1.0,LogNormal
e[2],0.975,0.332,0.315,1.616,0.008,0.005,1902.0,1490.0,1.0,LogNormal
e[3],0.569,0.194,0.184,0.942,0.004,0.003,1902.0,1490.0,1.0,LogNormal
e[4],0.244,0.083,0.079,0.404,0.002,0.001,1902.0,1490.0,1.0,LogNormal
e[5],0.406,0.139,0.131,0.673,0.003,0.002,1902.0,1490.0,1.0,LogNormal
e[6],0.569,0.194,0.184,0.942,0.004,0.003,1902.0,1490.0,1.0,LogNormal
e[7],0.406,0.139,0.131,0.673,0.003,0.002,1902.0,1490.0,1.0,LogNormal
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[9],0.487,0.166,0.157,0.808,0.004,0.003,1902.0,1490.0,1.0,LogNormal
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[12],0.812,0.277,0.262,1.346,0.006,0.004,1902.0,1490.0,1.0,LogNormal
e[13],0.569,0.194,0.184,0.942,0.004,0.003,1902.0,1490.0,1.0,LogNormal
e[14],0.406,0.139,0.131,0.673,0.003,0.002,1902.0,1490.0,1.0,LogNormal
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[19],1.137,0.388,0.367,1.885,0.009,0.006,1902.0,1490.0,1.0,LogNormal
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[28],0.569,0.194,0.184,0.942,0.004,0.003,1902.0,1490.0,1.0,LogNormal
e[29],0.569,0.194,0.184,0.942,0.004,0.003,1902.0,1490.0,1.0,LogNormal
m[0],1.991,0.122,1.75,2.229,0.002,0.002,2526.0,2421.0,1.0,LogNormal
