,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
r,0.056,0.017,0.021,0.087,0.0,0.0,2279.0,1825.0,1.0,LogNormal
a,1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
s,0.547,0.052,0.453,0.655,0.001,0.001,2401.0,2385.0,1.0,LogNormal
e[0],0.112,0.034,0.043,0.173,0.001,0.0,2279.0,1825.0,1.0,LogNormal
e[1],0.168,0.051,0.064,0.26,0.001,0.001,2279.0,1825.0,1.0,LogNormal
e[2],0.67,0.205,0.258,1.04,0.004,0.003,2279.0,1825.0,1.0,LogNormal
e[3],0.391,0.12,0.15,0.607,0.002,0.002,2279.0,1825.0,1.0,LogNormal
e[4],0.168,0.051,0.064,0.26,0.001,0.001,2279.0,1825.0,1.0,LogNormal
e[5],0.279,0.085,0.107,0.433,0.002,0.001,2279.0,1825.0,1.0,LogNormal
e[6],0.391,0.12,0.15,0.607,0.002,0.002,2279.0,1825.0,1.0,LogNormal
e[7],0.279,0.085,0.107,0.433,0.002,0.001,2279.0,1825.0,1.0,LogNormal
e[8],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[9],0.335,0.103,0.129,0.52,0.002,0.001,2279.0,1825.0,1.0,LogNormal
e[10],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[12],0.558,0.171,0.215,0.867,0.004,0.002,2279.0,1825.0,1.0,LogNormal
e[13],0.391,0.12,0.15,0.607,0.002,0.002,2279.0,1825.0,1.0,LogNormal
e[14],0.279,0.085,0.107,0.433,0.002,0.001,2279.0,1825.0,1.0,LogNormal
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[17],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[18],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[19],0.782,0.239,0.301,1.214,0.005,0.003,2279.0,1825.0,1.0,LogNormal
e[20],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[21],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[22],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[23],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[24],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[25],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[26],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[27],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[28],0.391,0.12,0.15,0.607,0.002,0.002,2279.0,1825.0,1.0,LogNormal
e[29],0.391,0.12,0.15,0.607,0.002,0.002,2279.0,1825.0,1.0,LogNormal
m[0],2.095,0.076,1.949,2.246,0.001,0.001,2705.0,2442.0,1.0,LogNormal
m[1],2.151,0.079,1.999,2.304,0.001,0.001,3172.0,2601.0,1.0,LogNormal
m[2],2.654,0.191,2.286,3.024,0.004,0.002,2897.0,2133.0,1.0,LogNormal
m[3],2.374,0.117,2.137,2.598,0.002,0.001,3347.0,2363.0,1.0,LogNormal
m[4],2.151,0.079,1.999,2.304,0.001,0.001,3172.0,2601.0,1.0,LogNormal
m[5],2.263,0.094,2.077,2.449,0.002,0.001,3504.0,2646.0,1.0,LogNormal
m[6],2.374,0.117,2.137,2.598,0.002,0.001,3347.0,2363.0,1.0,LogNormal
m[7],2.263,0.094,2.077,2.449,0.002,0.001,3504.0,2646.0,1.0,LogNormal
m[8],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[9],2.319,0.105,2.108,2.523,0.002,0.001,3454.0,2394.0,1.0,LogNormal
m[10],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[11],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[12],2.542,0.16,2.234,2.854,0.003,0.002,3036.0,2207.0,1.0,LogNormal
m[13],2.374,0.117,2.137,2.598,0.002,0.001,3347.0,2363.0,1.0,LogNormal
m[14],2.263,0.094,2.077,2.449,0.002,0.001,3504.0,2646.0,1.0,LogNormal
m[15],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[16],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[17],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[18],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[19],2.765,0.222,2.34,3.197,0.004,0.003,2790.0,2115.0,1.0,LogNormal
m[20],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[21],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[22],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[23],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
m[24],1.983,0.082,1.803,2.126,0.002,0.001,1947.0,2092.0,1.0,LogNormal
