,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
r,0.053,0.027,0.002,0.1,0.001,0.0,1738.0,1316.0,1.0,LogNormal
a,2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
s,0.44,0.084,0.302,0.62,0.002,0.002,1833.0,1776.0,1.0,LogNormal
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[8],0.318,0.16,0.012,0.601,0.004,0.003,1738.0,1316.0,1.0,LogNormal
e[9],0.529,0.267,0.019,1.002,0.006,0.004,1738.0,1316.0,1.0,LogNormal
e[10],0.212,0.107,0.008,0.401,0.002,0.002,1738.0,1316.0,1.0,LogNormal
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[14],0.529,0.267,0.019,1.002,0.006,0.004,1738.0,1316.0,1.0,LogNormal
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,LogNormal
e[17],0.37,0.187,0.014,0.701,0.004,0.003,1738.0,1316.0,1.0,LogNormal
m[0],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[1],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[2],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[3],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[4],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[5],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[6],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[7],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[8],2.392,0.15,2.077,2.666,0.003,0.002,3356.0,2498.0,1.0,LogNormal
m[9],2.604,0.237,2.151,3.065,0.004,0.003,2740.0,2051.0,1.0,LogNormal
m[10],2.287,0.119,2.054,2.518,0.002,0.001,3297.0,2236.0,1.0,LogNormal
m[11],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[12],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[13],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[14],2.604,0.237,2.151,3.065,0.004,0.003,2740.0,2051.0,1.0,LogNormal
m[15],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[16],2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
m[17],2.445,0.17,2.107,2.772,0.003,0.002,3184.0,2315.0,1.0,LogNormal
r,0.522,0.204,0.136,0.911,0.004,0.003,2962.0,2634.0,1.0,Gamma
a,8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
s,3.698,0.59,2.6,4.823,0.011,0.008,2700.0,2503.0,1.0,Gamma
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[8],3.135,1.221,0.819,5.465,0.022,0.016,2962.0,2634.0,1.0,Gamma
e[9],5.225,2.035,1.365,9.108,0.037,0.027,2962.0,2634.0,1.0,Gamma
e[10],2.09,0.814,0.546,3.643,0.015,0.011,2962.0,2634.0,1.0,Gamma
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[14],5.225,2.035,1.365,9.108,0.037,0.027,2962.0,2634.0,1.0,Gamma
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Gamma
e[17],3.657,1.425,0.955,6.375,0.026,0.019,2962.0,2634.0,1.0,Gamma
m[0],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[1],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[2],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[3],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[4],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[5],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[6],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[7],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[8],11.156,1.185,8.787,13.48,0.018,0.013,4165.0,2714.0,1.0,Gamma
m[9],13.246,1.86,9.639,16.915,0.03,0.021,3937.0,2900.0,1.0,Gamma
m[10],10.111,0.934,8.229,11.886,0.015,0.011,3790.0,2775.0,1.0,Gamma
m[11],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[12],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[13],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[14],13.246,1.86,9.639,16.915,0.03,0.021,3937.0,2900.0,1.0,Gamma
m[15],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[16],8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
m[17],11.678,1.339,9.085,14.374,0.021,0.015,4144.0,2801.0,1.0,Gamma
r,0.078,0.076,0.0,0.231,0.002,0.001,1726.0,1568.0,1.0,Weibull
a,1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
s,10.511,1.271,7.966,12.962,0.029,0.02,1958.0,2125.0,1.0,Weibull
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[5],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[6],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[7],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[8],0.467,0.455,0.001,1.385,0.011,0.008,1726.0,1568.0,1.0,Weibull
e[9],0.778,0.759,0.001,2.308,0.018,0.013,1726.0,1568.0,1.0,Weibull
e[10],0.311,0.304,0.0,0.923,0.007,0.005,1726.0,1568.0,1.0,Weibull
e[11],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[12],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[13],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[14],0.778,0.759,0.001,2.308,0.018,0.013,1726.0,1568.0,1.0,Weibull
e[15],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[16],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,Weibull
e[17],0.544,0.531,0.001,1.615,0.013,0.009,1726.0,1568.0,1.0,Weibull
m[0],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[1],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[2],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[3],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[4],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[5],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[6],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[7],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[8],2.382,0.537,1.461,3.47,0.012,0.009,2035.0,2369.0,1.0,Weibull
m[9],2.693,0.787,1.47,4.309,0.018,0.013,2006.0,2325.0,1.0,Weibull
m[10],2.226,0.439,1.378,3.084,0.01,0.007,2053.0,2209.0,1.0,Weibull
m[11],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[12],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[13],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[14],2.693,0.787,1.47,4.309,0.018,0.013,2006.0,2325.0,1.0,Weibull
m[15],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[16],1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
m[17],2.46,0.595,1.445,3.655,0.013,0.01,2028.0,2360.0,1.0,Weibull
r,0.589,0.25,0.142,0.995,0.004,0.003,3443.0,2547.0,1.0,NegativeBinomial
a,7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
s,4.045,1.5,1.545,7.007,0.028,0.02,3006.0,2695.0,1.0,NegativeBinomial
e[0],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[1],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[2],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[3],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
e[4],0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,,NegativeBinomial
