,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
r,0.081,0.028,0.026,0.135,0.001,0.0,1902.0,1490.0,1.0,LogNormal
m,1.828,0.147,1.539,2.136,0.003,0.002,1979.0,1902.0,1.0,LogNormal
s,0.621,0.087,0.455,0.781,0.002,0.001,2064.0,2203.0,1.0,LogNormal
r,0.718,0.155,0.435,0.996,0.003,0.002,2061.0,1747.0,1.0,Gamma
m,6.858,0.869,5.281,8.698,0.02,0.014,1955.0,2371.0,1.0,Gamma
s,4.675,0.606,3.583,5.895,0.013,0.009,2266.0,2590.0,1.0,Gamma
r,0.05,0.044,0.0,0.138,0.001,0.001,1344.0,1598.0,1.0,Weibull
m,1.509,0.257,1.007,1.978,0.006,0.004,1692.0,1454.0,1.0,Weibull
s,10.81,1.332,7.934,13.242,0.033,0.023,1654.0,1809.0,1.0,Weibull
r,0.722,0.188,0.365,1.0,0.003,0.002,2750.0,1985.0,1.0,NegativeBinomial
m,6.894,0.969,5.193,8.931,0.017,0.012,3103.0,2850.0,1.0,NegativeBinomial
s,3.726,1.186,1.698,6.132,0.021,0.016,3061.0,2863.0,1.0,NegativeBinomial
