,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
u,0.045,0.028,0.0,0.089,0.002,0.002,123.0,89.0,1.03,LogNormal
a,2.007,0.09,1.845,2.192,0.005,0.003,362.0,761.0,1.01,LogNormal
b,0.557,0.055,0.455,0.672,0.002,0.002,648.0,1059.0,1.0,LogNormal
u,0.587,0.182,0.238,0.949,0.006,0.004,1345.0,542.0,1.0,Gamma
a,7.716,0.625,6.56,9.004,0.016,0.012,1470.0,2135.0,1.0,Gamma
b,4.541,0.427,3.739,5.401,0.009,0.006,2346.0,2559.0,1.0,Gamma
u,0.006,0.016,0.0,0.035,0.0,0.0,492.0,559.0,1.01,Weibull
a,1.777,0.206,1.398,2.203,0.007,0.005,928.0,967.0,1.01,Weibull
b,11.084,0.883,9.43,12.881,0.026,0.019,1144.0,1029.0,1.0,Weibull
u,0.726,0.293,0.146,1.274,0.006,0.004,2263.0,1421.0,1.0,NegativeBinomial
a,7.669,0.796,6.133,9.24,0.014,0.01,3099.0,2465.0,1.0,NegativeBinomial
b,4.766,1.274,2.483,7.263,0.024,0.017,2740.0,2731.0,1.0,NegativeBinomial
