,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model
u,0.053,0.027,0.002,0.1,0.001,0.0,1738.0,1316.0,1.0,LogNormal
a,2.075,0.12,1.854,2.322,0.003,0.002,1709.0,1201.0,1.0,LogNormal
b,0.44,0.084,0.302,0.62,0.002,0.002,1833.0,1776.0,1.0,LogNormal
u,0.522,0.204,0.136,0.911,0.004,0.003,2962.0,2634.0,1.0,Gamma
a,8.021,0.897,6.275,9.771,0.019,0.013,2236.0,2262.0,1.0,Gamma
b,3.698,0.59,2.6,4.823,0.011,0.008,2700.0,2503.0,1.0,Gamma
u,0.078,0.076,0.0,0.231,0.002,0.001,1726.0,1568.0,1.0,Weibull
a,1.915,0.372,1.169,2.636,0.008,0.006,2045.0,1526.0,1.0,Weibull
b,10.511,1.271,7.966,12.962,0.029,0.02,1958.0,2125.0,1.0,Weibull
u,0.589,0.25,0.142,0.995,0.004,0.003,3443.0,2547.0,1.0,NegativeBinomial
a,7.625,1.128,5.514,9.901,0.019,0.013,3473.0,2827.0,1.0,NegativeBinomial
b,4.045,1.5,1.545,7.007,0.028,0.02,3006.0,2695.0,1.0,NegativeBinomial
